,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
371,Ribeira Brava,32.65,-17.07,290.15,55,75,7.2,PT,1589597109
372,Jagüey Grande,22.53,-81.13,298.15,88,20,2.1,CU,1589597109
373,Jaqué,7.52,-78.17,300.21,82,97,0.91,PA,1589597109
374,Guarapari,-20.67,-40.5,294.15,94,90,5.1,BR,1589597110
375,Broken Hill,-31.95,141.43,290.15,45,0,3.1,AU,1589596849
376,Khatanga,71.97,102.5,275.11,88,61,4.01,RU,1589596771
377,Blyth,55.13,-1.51,281.48,70,100,5.7,GB,1589597110
378,Phan Thiet,10.93,108.1,304.56,61,89,2.16,VN,1589596801
379,Kuruman,-27.45,23.43,283.8,42,0,4.4,ZA,1589597111
380,Abu Samrah,35.3,37.18,296.58,27,0,1.03,SY,1589597111
381,Melbu,68.5,14.83,275.37,73,97,0.45,NO,1589597111
382,Makakilo City,21.35,-158.09,302.15,54,75,3.1,US,1589596877
383,Kalmunai,7.42,81.82,300.82,76,100,2.34,LK,1589597112
384,Newcastle,-32.93,151.78,293.15,60,40,4.1,AU,1589597011
385,Kudahuvadhoo,2.67,72.89,302.49,72,100,8.79,MV,1589596832
386,Formosa,-26.18,-58.18,284.15,100,0,1.5,AR,1589596936
387,Santiago de Cao,-7.96,-79.24,293.11,87,50,4.91,PE,1589597113
388,Mindelo,16.89,-24.98,295.15,73,20,7.7,CV,1589596816
389,Terenos,-20.44,-54.86,289.15,87,20,2.1,BR,1589597113
390,Mabaruma,8.2,-59.78,296.58,91,38,1.46,GY,1589597113
391,Cape Canaveral,28.41,-80.6,297.15,94,40,3.1,US,1589597113
392,Aktash,50.3,87.73,286.78,44,100,0.65,RU,1589597114
393,Poum,-20.23,164.02,297.01,70,3,3.87,NC,1589597114
394,Hoa Binh,20.81,105.34,302.15,79,75,5.1,VN,1589597114
395,La Paz,-16.5,-68.15,275.15,40,53,3.6,BO,1589597023
396,Baykalovo,57.4,63.77,286.65,44,92,1.9,RU,1589597115
397,Mirzāpur,25.15,82.58,303.15,58,0,1,IN,1589596856
398,Luganville,-15.53,167.17,301.15,69,90,3.6,VU,1589596831
399,Moose Factory,51.26,-80.61,277.15,86,90,1,CA,1589597115
400,Whitewater,42.83,-88.73,288.15,75,0,0.45,US,1589596909
401,Chongwe,-15.33,28.68,283.15,87,13,0.5,ZM,1589597116
402,Heihe,50.24,127.49,290.15,45,0,6,CN,1589597117
403,Kawalu,-7.38,108.21,299.94,81,74,1.93,ID,1589597117
404,Kamaishi,39.27,141.88,293.15,64,75,1,JP,1589597117
405,Bathurst,-33.42,149.58,290.93,55,20,3.87,AU,1589596837
406,Tezu,27.92,96.17,304.46,39,51,1.93,IN,1589597118
407,Ryōtsu-minato,38.08,138.43,292.15,68,100,2.6,JP,1589597118
408,Wum,6.38,10.07,291.78,94,100,1.18,CM,1589597118
409,Hidrolândia,-4.41,-40.44,295.99,95,68,0.62,BR,1589597119
410,Vizinga,61.07,50.1,277.02,96,100,4.04,RU,1589597119
411,Hambantota,6.12,81.12,300.35,84,100,9.95,LK,1589596830
412,Itarema,-2.92,-39.92,298.53,88,100,3.06,BR,1589596839
413,Basoko,1.24,23.62,294.35,93,54,0.47,CD,1589597119
414,Aquiraz,-3.9,-38.39,298.15,94,75,1.5,BR,1589597120
415,Okhotsk,59.38,143.3,282.94,50,88,4.23,RU,1589597120
416,Puerto Ayacucho,5.66,-67.62,298.04,91,99,2.29,VE,1589597120
417,Rawson,-43.3,-65.1,292.53,52,100,7.48,AR,1589596866
418,Les Cayes,18.2,-73.75,298.26,82,16,3.53,HT,1589597120
419,Boende,-0.22,20.87,295.34,97,77,0.25,CD,1589597121
420,Narva-Jõesuu,59.46,28.04,276.73,83,97,3.89,EE,1589597121
421,Beidao,34.57,105.89,296.24,38,0,2.45,CN,1589596789
422,Pokhara,28.23,83.98,299.69,48,64,1.56,NP,1589597121
423,Jacareacanga,-6.22,-57.75,296.68,95,81,0.17,BR,1589596858
424,São José da Coroa Grande,-8.9,-35.15,298.58,82,86,3.08,BR,1589597122
425,Mhlambanyatsi,-26.45,31.02,288.15,30,0,5.7,SZ,1589597122
426,Kyrnasivka,48.6,28.98,280.93,89,97,4.44,UA,1589597122
427,Mil'kovo,54.72,158.62,276.11,92,100,2.07,RU,1589597123
428,Alcúdia,39.85,3.12,289.82,84,55,9.68,ES,1589597123
429,Nyagan,62.14,65.39,280.93,60,27,1.63,RU,1589597123
430,Oddur,4.12,43.89,295.74,87,0,5.35,SO,1589597123
431,Horsham,51.06,-0.33,281.48,93,98,1,GB,1589597124
432,Esso,55.93,158.7,275.51,83,100,2.36,RU,1589597124
433,Andenes,69.31,16.12,276.15,64,98,7.7,NO,1589596869
434,Puerto Asís,0.51,-76.5,295.84,96,100,0.59,CO,1589597124
435,Arrondissement de Pithiviers,48.17,2.25,281.48,78,0,3.41,FR,1589597125
436,Sitka,57.05,-135.33,285.15,71,75,4.1,US,1589596800
437,Pimenta Bueno,-11.67,-61.19,294.94,95,34,1.2,BR,1589597125
438,Lubango,-14.92,13.49,286.66,43,1,2.4,AO,1589597125
439,Matamoros,25.53,-103.25,305.15,9,5,3.1,MX,1589597125
440,Lere,10.39,8.57,295.91,79,69,2.34,NG,1589597126
441,Half Moon Bay,37.46,-122.43,291.15,87,1,5.1,US,1589596703
442,Ladário,-19,-57.6,289.45,59,91,1.55,BR,1589597126
443,Moranbah,-22,148.05,298.42,28,52,8.52,AU,1589597126
444,Lodja,-3.48,23.43,294.57,93,90,0.96,CD,1589597126
445,Águas Vermelhas,-15.75,-41.46,292.05,95,95,0.97,BR,1589597127
446,Buala,-8.14,159.59,302.87,68,75,1.29,SB,1589596785
447,Achinsk,56.27,90.5,287.42,44,100,4.16,RU,1589597127
448,Baoshan,46.56,131.42,287.2,86,100,1.34,CN,1589597127
449,Svetlaya,46.54,138.33,283.31,84,100,1.27,RU,1589597127
450,Meulaboh,4.14,96.13,303.07,68,100,1.89,ID,1589597128
451,Alyangula,-13.85,136.42,300.15,78,90,3.6,AU,1589597128
452,Malartic,48.13,-78.13,280.15,100,90,4.1,CA,1589596867
453,Porbandar,21.64,69.61,302.02,66,0,6.51,IN,1589597128
454,Eyl,7.98,49.82,301.96,73,0,6.3,SO,1589597128
455,Paita,-5.09,-81.11,294.63,80,90,5.66,PE,1589597129
456,Ganzhou,28.82,115.43,301.64,68,44,0.67,CN,1589597129
457,Aswān,24.09,32.91,300.83,34,0,3.01,EG,1589596857
458,Iskateley,67.68,53.15,276.1,76,0,2.38,RU,1589597129
459,Port Macquarie,-31.43,152.92,292.04,73,77,0.45,AU,1589596988
460,Gigmoto,13.78,124.39,303.04,72,100,5.89,PH,1589597129
461,Buin,-33.73,-70.75,287.15,44,0,1.5,CL,1589597130
462,Tabou,4.42,-7.35,299.56,87,91,3.29,CI,1589597130
463,Tiznit Province,29.58,-9.5,286.14,90,65,4.62,MA,1589596787
464,Nizhniy Kuranakh,58.84,125.49,288.43,38,0,2.91,RU,1589597130
465,Port Hardy,50.7,-127.42,288.15,51,90,5.1,CA,1589596782
466,San Patricio,19.22,-104.7,295.52,75,0,2.08,MX,1589596815
467,Statesboro,32.45,-81.78,293.15,77,1,2.75,US,1589597131
468,Ternate,0.8,127.4,303.67,64,85,2.21,ID,1589597131
469,Teplodar,46.51,30.33,287.15,71,40,2,UA,1589597131
470,Arrondissement d'Arcachon,44.59,-1.05,287.04,76,44,3.1,FR,1589597132
471,Twentynine Palms,34.14,-116.05,304.15,14,1,2.1,US,1589597132
472,Moro,26.66,68,300.15,69,0,1.91,PK,1589597132
473,San Martín,-33.08,-68.47,287.15,47,23,2.1,AR,1589597132
474,Avera,33.19,-82.53,296.15,69,40,3.6,US,1589596807
475,Sainte-Maxime,43.3,6.63,289.26,87,12,4.07,FR,1589597133
476,Zaraza,9.35,-65.32,298.73,72,97,2.82,VE,1589597133
477,Poshekhon'ye,58.5,39.14,276.95,81,17,3.94,RU,1589597133
478,Kaputa,-8.47,29.66,292.87,78,4,1.35,ZM,1589596915
479,Bonthe,7.53,-12.51,300.29,85,81,1.34,SL,1589597134
480,Paka,4.64,103.44,305.15,75,20,2.1,MY,1589597134
481,Pilar,-9.6,-35.96,298.15,88,20,1,BR,1589597134
482,Fort-Shevchenko,44.51,50.26,288.16,75,100,5.07,KZ,1589597134
483,Port Said,31.26,32.28,296.15,78,7,3.6,EG,1589597135
484,Acaraú,-2.89,-40.12,299.05,86,100,3.45,BR,1589596823
485,Black River,18.03,-77.85,300.93,88,20,4.1,JM,1589597135
486,Merauke,-8.47,140.33,301.97,74,65,5.82,ID,1589596806
487,Evensk,61.95,159.23,278.16,69,55,10.49,RU,1589597135
488,Ust-Kuyga,70.02,135.6,275.78,89,100,4.15,RU,1589597136
489,Khonsa,27.02,95.57,294.92,86,27,0.56,IN,1589597136
490,Whitecourt,54.15,-115.69,289.15,38,75,2.1,CA,1589597136
491,Basco,20.45,121.97,300.9,82,100,4.99,PH,1589597136
492,Beyneu,45.32,55.2,290.68,45,29,2.42,KZ,1589596866
493,Miandrivazo,-19.52,45.47,292.08,83,0,0.32,MG,1589597137
494,Yumen,40.28,97.2,297.93,17,0,3.8,CN,1589597137
495,Bayir,37.27,28.22,290.15,88,0,1,TR,1589597137
496,Qandala,11.47,49.87,305.08,51,0,1.47,SO,1589597137
497,Katherine,-14.47,132.27,304.15,33,70,7.7,AU,1589596965
498,Chumikan,54.72,135.31,277.2,86,87,3.37,RU,1589596870
499,Porto-Novo,6.5,2.6,302.15,83,40,5.1,BJ,1589596912
500,Lavrentiya,65.58,-171,274.57,87,5,4.65,RU,1589596858
501,Mossamedes,-15.2,12.15,296.51,64,0,2.56,AO,1589596877
502,Gemeente Wageningen,51.97,5.67,279.26,100,49,2.08,NL,1589597138
503,Hargeisa,9.56,44.06,294.88,73,0,10.19,SO,1589597139
504,Kodinsk,58.69,99.18,285.12,39,100,1.75,RU,1589597139
505,São João do Piauí,-8.36,-42.25,295.31,82,0,1.36,BR,1589597139
506,Aripuanã,-9.17,-60.63,295.68,98,83,1.06,BR,1589597140
507,Nadym,65.53,72.52,278.9,87,100,4.17,RU,1589597140
508,Kyabram,-36.32,145.05,290.37,45,0,1.97,AU,1589597072
509,Wattegama,6.8,81.48,301.11,75,67,3.59,LK,1589597140
510,Copiapó,-27.37,-70.33,286.15,87,0,1,CL,1589597064
511,Dalvik,65.97,-18.53,271.15,92,20,4.6,IS,1589597141
512,Ibrā’,22.69,58.53,297.44,77,8,0.43,OM,1589597141
513,Golden,39.76,-105.22,285.15,87,90,6.2,US,1589596891
514,Shenjiamen,29.96,122.3,294.95,94,95,0.38,CN,1589597141
515,Balabac,7.99,117.06,304.87,59,98,2.9,PH,1589597141
516,Mola di Bari,41.06,17.09,292.04,100,100,3.12,IT,1589597141
517,Gilgit,35.92,74.31,292,27,1,1.32,PK,1589597142
518,Marzuq,14.4,46.47,299.29,33,0,1.43,YE,1589597142
519,Novo Horizonte,-21.47,-49.22,290.56,88,55,2.94,BR,1589597142
520,Kaduqli,11.02,29.72,300.95,52,97,2.46,SD,1589597142
521,Agadez,19.75,10.25,298.04,16,0,0.75,NE,1589597142
522,Kumluca,36.37,30.29,300.38,39,0,2.47,TR,1589597143
523,Vila Franca do Campo,37.72,-25.43,289.15,82,75,3.1,PT,1589596822
524,Ilo,-17.64,-71.34,291.11,81,99,2.15,PE,1589597143
525,Bagdarin,54.43,113.6,277.26,90,100,4.07,RU,1589597144
526,Burgeo,47.62,-57.62,274.7,87,2,2.95,CA,1589597144
527,Washington,47.5,-120.5,293.15,32,1,4.1,US,1589596797
528,Jérémie,18.65,-74.12,299.16,73,2,0.95,HT,1589597144
529,Røros,62.57,11.38,271.15,63,100,3.1,NO,1589597144
530,Abu Kamal,34.45,40.92,299.17,20,0,2.59,SY,1589597145
531,Río Gallegos,-51.62,-69.22,278.15,86,40,11.3,AR,1589597145
532,Sobolevo,54.43,31.9,277.12,84,22,2.8,RU,1589596849
533,Nago,26.59,127.98,302.15,79,90,5.7,JP,1589596874
534,La Asuncion,11.03,-63.86,293.15,100,66,7.2,VE,1589596799
535,Ekibastuz,51.67,75.37,292.79,53,0,7,KZ,1589596895
536,Palmer,42.16,-72.33,290.93,100,90,2.1,US,1589596793
537,Fukuechō,32.69,128.84,297.15,88,75,2.1,JP,1589596801
538,Keti Bandar,24.14,67.45,302.06,66,0,6.71,PK,1589597146
539,Srednekolymsk,67.45,153.68,278.34,67,91,2.49,RU,1589596868
540,Borovskoy,53.8,64.15,288.16,65,93,6.62,KZ,1589597147
541,Diamantino,-14.41,-56.45,293.77,86,43,1.38,BR,1589597147
542,Balikpapan,-1.27,116.83,302.81,78,32,2.87,ID,1589597064
543,Floriano,-6.77,-43.02,296.8,83,0,1.38,BR,1589597147
544,Talara,-4.58,-81.27,294.98,81,69,5.21,PE,1589597148
545,Pevek,69.7,170.31,272.93,95,0,1.54,RU,1589596817
546,Aleksandrovskiy Zavod,50.92,117.94,290.48,50,100,7.22,RU,1589597148
547,Camacha,33.08,-16.33,290.15,48,40,8.2,PT,1589596769
548,Te Anau,-45.42,167.72,283.96,57,0,0.18,NZ,1589596784
549,Harwich,51.94,1.28,282.59,74,17,5.02,GB,1589597148
550,Bilibino,68.05,166.44,276.52,74,0,2.14,RU,1589596778
551,Nogliki,51.83,143.17,278.46,87,100,2.28,RU,1589597149
552,Zhangaözen,43.3,52.8,286.53,51,54,2.53,KZ,1589597149
553,Vanimo,-2.67,141.3,304.1,65,69,3.91,PG,1589597149
554,Dzaoudzi,-12.79,45.27,300.15,69,75,10.3,YT,1589597150
555,Masakin,35.73,10.58,294.15,88,60,2.1,TN,1589597150
556,Bama,11.52,13.69,300.97,53,25,3.64,NG,1589597150
557,Atasū,48.68,71.64,290.67,61,65,3.46,KZ,1589597150
558,Kiunga,-6.12,141.29,305.13,59,46,2.16,PG,1589597150
559,Hobyo,5.35,48.53,301.14,75,10,9.32,SO,1589597151
560,Kieta,-6.22,155.63,302.96,68,82,2.56,PG,1589596837
561,Valday,57.97,33.25,274.72,91,6,2.13,RU,1589597151
562,Walvis Bay,-22.96,14.51,284.15,87,0,2.1,NA,1589596776
563,Havre-St-Pierre,50.23,-63.6,275.15,80,1,1,CA,1589597044
564,Anchorage,61.22,-149.9,292.15,32,1,3.6,US,1589596882
565,Juruti,-2.15,-56.09,297.65,92,3,0.83,BR,1589597152
566,Kadoma,34.73,135.58,292.15,93,75,5.7,JP,1589597152
567,Mumbai,19.01,72.85,304.15,70,75,3.83,IN,1589597153
568,Hammerfest,70.66,23.68,275.15,55,67,14.4,NO,1589596796
